browse_name,node_id,variant_type,access_level,user_access_level,current_value,numeric,finite,live_validated,read_error
time,FourByteNodeId(i=10004),Variant,,,9.76,Y,Y,Y,
vppHPFWPSpeedProven,NumericNodeId(ns=1;i=200000320),Variant,,,True,Y,Y,Y,
vppHPFWPSpeedRPM,NumericNodeId(ns=1;i=100011988),Variant,,,1400.0,Y,Y,Y,
vppHPFWPTripCommandNative,NumericNodeId(ns=1;i=100011989),Variant,,,0.0,Y,Y,Y,
vppHPFWPTripLatchNative,NumericNodeId(ns=1;i=100011990),Variant,,,0.0,Y,Y,Y,
vppHPFWPTripLatchState,NumericNodeId(ns=1;i=100012235),Variant,,,0.0,Y,Y,Y,
vppHPFWPTripPushbuttonNative,NumericNodeId(ns=1;i=100011991),Variant,,,0.0,Y,Y,Y,
vppHPSplitter.Ce.P,NumericNodeId(ns=1;i=150002796),Variant,,,12681000.049933966,Y,Y,Y,
vppHPSplitter.Ce.Q,NumericNodeId(ns=1;i=150002797),Variant,,,151.76909932960794,Y,Y,Y,
vppHPSplitter.Ce.a,NumericNodeId(ns=1;i=200000321),Variant,,,True,Y,Y,Y,
vppHPSplitter.Ce.b,NumericNodeId(ns=1;i=250000348),Variant,,,True,Y,Y,Y,
vppHPSplitter.Ce.h,NumericNodeId(ns=1;i=150002798),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.Ce.h_vol,NumericNodeId(ns=1;i=150002799),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.Cs1.P,NumericNodeId(ns=1;i=150002800),Variant,,,12681000.050329339,Y,Y,Y,
vppHPSplitter.Cs1.Q,NumericNodeId(ns=1;i=150002801),Variant,,,151.76909933390502,Y,Y,Y,
vppHPSplitter.Cs1.a,NumericNodeId(ns=1;i=250000349),Variant,,,True,Y,Y,Y,
vppHPSplitter.Cs1.b,NumericNodeId(ns=1;i=200000322),Variant,,,True,Y,Y,Y,
vppHPSplitter.Cs1.h,NumericNodeId(ns=1;i=150002802),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.Cs1.h_vol,NumericNodeId(ns=1;i=150002803),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.Cs2.P,NumericNodeId(ns=1;i=150002804),Variant,,,12681000.050329339,Y,Y,Y,
vppHPSplitter.Cs2.Q,NumericNodeId(ns=1;i=150002805),Variant,,,0.0,Y,Y,Y,
vppHPSplitter.Cs2.a,NumericNodeId(ns=1;i=250000350),Variant,,,True,Y,Y,Y,
vppHPSplitter.Cs2.b,NumericNodeId(ns=1;i=200000323),Variant,,,True,Y,Y,Y,
vppHPSplitter.Cs2.h,NumericNodeId(ns=1;i=150002806),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.Cs2.h_vol,NumericNodeId(ns=1;i=150002807),Variant,,,3432930.993631996,Y,Y,Y,
vppHPSplitter.P,NumericNodeId(ns=1;i=150002808),Variant,,,12681000.050329339,Y,Y,Y,
vppHPSplitter.Pthermo,NumericNodeId(ns=1;i=100011992),Variant,,,12681000.050726423,Y,Y,Y,
vppHPSplitter.T,NumericNodeId(ns=1;i=150002809),Variant,,,807.252199425255,Y,Y,Y,
vppHPSplitter.alpha1,NumericNodeId(ns=1;i=100011993),Variant,,,1.0,Y,Y,Y,
vppHPSplitter.h,NumericNodeId(ns=1;i=150002810),Variant,,,3432930.9936338332,Y,Y,Y,
