rule_id,port_id,relation,node_or_tag,kind
AL-LP-PRESS-L,IN-01,INPUT,vppLPDrumPressurePa,RAW_NODE
AL-LP-PRESS-L,OUT-01,OUTPUT,HRSG.LP.DRUM.PRESS.L,DERIVED_TAG
AL-LP-PRESS-LL,IN-01,INPUT,vppLPDrumPressurePa,RAW_NODE
AL-LP-PRESS-LL,OUT-01,OUTPUT,HRSG.LP.DRUM.PRESS.LL,DERIVED_TAG
CMD-FWP-HP-RESET,IN-01,INPUT,vppHPFWPResetPushbuttonNative,RAW_NODE
CMD-FWP-HP-RESET,OUT-01,OUTPUT,vppHPFWPTripLatchNative,RAW_NODE
CMD-FWP-HP-TRIP,IN-01,INPUT,vppHPFWPTripPushbuttonNative,RAW_NODE
CMD-FWP-HP-TRIP,OUT-01,OUTPUT,vppHPFWPTripCommandNative,RAW_NODE
CMD-FWP-HP-TRIP,OUT-02,OUTPUT,vppHPFWPTripLatchNative,RAW_NODE
CMD-FWP-HP-TRIP,OUT-03,OUTPUT,vppVCBA01TripCommandNative,RAW_NODE
CMD-FWP-IP-RESET,IN-01,INPUT,vppIPFWPResetPushbuttonNative,RAW_NODE
CMD-FWP-IP-RESET,OUT-01,OUTPUT,vppIPFWPTripLatchNative,RAW_NODE
CMD-FWP-IP-TRIP,IN-01,INPUT,vppIPFWPTripPushbuttonNative,RAW_NODE
CMD-FWP-IP-TRIP,OUT-01,OUTPUT,vppIPFWPTripCommandNative,RAW_NODE
CMD-FWP-IP-TRIP,OUT-02,OUTPUT,vppIPFWPTripLatchNative,RAW_NODE
CMD-FWP-IP-TRIP,OUT-03,OUTPUT,vppVCBB01TripCommandNative,RAW_NODE
CMD-FWP-LP-RESET,IN-01,INPUT,vppLPFWPResetPushbuttonNative,RAW_NODE
CMD-FWP-LP-RESET,OUT-01,OUTPUT,vppLPFWPTripLatchNative,RAW_NODE
CMD-FWP-LP-TRIP,IN-01,INPUT,vppLPFWPTripPushbuttonNative,RAW_NODE
CMD-FWP-LP-TRIP,OUT-01,OUTPUT,vppLPFWPTripCommandNative,RAW_NODE
CMD-FWP-LP-TRIP,OUT-02,OUTPUT,vppLPFWPTripLatchNative,RAW_NODE
CMD-FWP-LP-TRIP,OUT-03,OUTPUT,vppVCBA02TripCommandNative,RAW_NODE
PROT-DIRECT-GT,IN-01,INPUT,vppExternalTripCommandNative,RAW_NODE
